financial_year,year,bank_name,gross_npa_opening,gross_npa_additions,gross_npa_reduction,gross_npa_writeoff,gross_npa_closing,net_npa_opening,net_npa_closing
FY2024-25,2025,BANK OF BARODA,31833.63,9310.13,4320.06,8988.82,27834.88,7213.34,6994.22
FY2024-25,2025,BANK OF INDIA,29182.77,7588.56,7265.87,7756.57,21748.89,6845.26,5358.49
FY2024-25,2025,BANK OF MAHARASHTRA,3833.05,1687.86,540.8,795.59,4184.52,408.990151,431.780151
FY2024-25,2025,CANARA BANK,40605.0,8544.0,3269.0,14350.0,31530.0,11823.0,7353.0
FY2024-25,2025,CENTRAL BANK OF INDIA,11340.34,3494.58,2270.78,3339.36,9224.78,3001.95,1543.25
FY2024-25,2025,INDIAN BANK,21106.31,5786.46,3839.07,4874.84,18178.86,2222.58,1109.56
FY2024-25,2025,INDIAN OVERSEAS BANK,6794.4266,3627.54,1191.41,3882.84,5347.7166,1216.85,911.86
FY2024-25,2025,PUNJAB AND SIND BANK,4665.35,822.4196,596.5571,1521.1531,3370.0594,1350.46,937.0578
FY2024-25,2025,PUNJAB NATIONAL BANK,56343.05,6761.25,6864.13,12158.57,44081.6,6798.77,4290.55
FY2024-25,2025,STATE BANK OF INDIA,84276.33,20817.57,7904.99,20308.71,76880.2,21051.08,19666.92
FY2024-25,2025,UCO BANK,6463.31,2247.91,1226.58,1566.1,5918.54,1621.65,1068.31
FY2024-25,2025,UNION BANK OF INDIA,43097.73,12073.93,8187.9,11633.38,35350.38,8989.92,5969.29
FY2024-25,2025,AXIS BANK LIMITED,14345.04,19441.97,8019.43,11806.39,13961.19,3247.47,3685.45
FY2024-25,2025,BANDHAN BANK LIMITED,4784.881723,5379.005614,1212.120205,2516.20557,6435.561562,1347.609458,1692.84292
FY2024-25,2025,CITY UNION BANK LIMITED,1854.43,814.96,834.44,196.78,1638.17,898.68,653.07
FY2024-25,2025,CSB BANK LIMITED,361.0725,228.7455,68.6945,22.6636,498.4599,124.8996,163.5307
FY2024-25,2025,DCB BANK LIMITED,1353.466,1523.9621,1203.2878,119.7094,1554.4309,454.3305,571.5502
FY2024-25,2025,DHANLAXMI BANK LIMITED,421.210612,152.262051,141.577034,67.783573,364.112056,126.467609,117.939209
FY2024-25,2025,FEDERAL BANK LTD,4528.87,1847.13,1289.24,711.22,4375.54,1255.33,1040.38
FY2024-25,2025,HDFC BANK LTD.,31173.32,31977.43,16082.31,11845.8,35222.64,8091.74,11320.43
FY2024-25,2025,ICICI BANK LIMITED,27313.86601,20201.13094,13796.95578,10194.93794,23523.10323,5377.7934,5589.413112
FY2024-25,2025,IDBI BANK LIMITED,8917.0,1923.0,3021.0,1124.0,6695.0,644.0,337.0
FY2024-25,2025,IDFC FIRST BANK LIMITED,3718.36,8054.78,2479.59,4859.97,4433.58,1160.47,1229.92
FY2024-25,2025,INDUSIND BANK LTD,6693.373554,10547.73,2114.58,4080.14,11046.38355,1968.899927,3287.139927
